Team,Capacity,Fill Rate
Clemson Tigers,81500,0.99
Florida State Seminoles,79560,0.97
Pitt Panthers,68400,0.78
Virginia Tech Hokies,65632,0.99
Cal Golden Bears,63000,0.62
Virginia Cavaliers,61500,0.63
Louisville Cardinals,60800,0.83
NC State Wolfpack,56919,0.99
Georgia Tech Yellow Jackets,55000,0.69
North Carolina Tar Heels,50500,0.94
Stanford Cardinal,50424,0.52
Syracuse Orange,49057,0.79
Duke Blue Devils,40004,0.75
SMU Mustangs,32000,1.00
Wake Forest Demon Deacons,31500,0.94
BYU Cougars,63470,0.99
Iowa State Cyclones,61500,0.94
Texas Tech Red Raiders,60454,0.97
West Virginia Mountaineers,60000,0.87
Oklahoma State Cowboys,53855,1.00
Arizona State Sun Devils,53599,0.87
Kansas Jayhawks,51500,1.00
Utah Utes,51444,1.00
Arizona Wildcats,50782,0.83
Colorado Buffaloes,50183,1.00
Kansas State Wildcats,50000,1.00
TCU Horned Frogs,46000,0.99
Baylor Bears,45140,0.94
Houston Cougars,40000,0.69
Cincinnati Bearcats,38088,0.96
Michigan Wolverines,107601,1.00
Penn State Nittany Lions,106572,1.00
Ohio State Buckeyes,102780,1.00
UCLA Bruins,89702,0.52
Nebraska Cornhuskers,85458,1.00
USC Trojans,77500,0.92
Wisconsin Badgers,75822,1.00
Michigan State Spartans,75005,0.87
Washington Huskies,70138,0.98
Iowa Hawkeyes,69250,1.00
Purdue Boilermakers,61441,0.97
Illinois Fighting Illini,60670,0.90
Oregon Ducks,54000,1.00
Indiana Hoosiers,52626,0.91
Rutgers Scarlet Knights,52454,0.92
Maryland Terrapins,51802,0.70
Minnesota Golden Gophers,50805,0.93
Northwestern Wildcats,47130,1.00
Oregon State Beavers,35548,1.00
Washington State Cougars,32952,0.69
Texas A&M Aggies,102733,1.00
LSU Tigers,102321,0.97
Tennessee Volunteers,101915,1.00
Alabama Crimson Tide,101821,1.00
Texas Longhorns,100119,1.00
Georgia Bulldogs,93033,1.00
Auburn Tigers,87451,1.00
Oklahoma Sooners,83489,1.00
South Carolina Gamecocks,77559,1.00
Arkansas Razorbacks,76000,0.96
Ole Miss Rebels,64038,1.00
Kentucky Wildcats,63543,0.98
Missouri Tigers,61620,1.00
Mississippi State Bulldogs,61337,0.80
Vanderbilt Commodores,41000,0.99
Notre Dame Fighting Irish,77622,1.00
South Florida Bulls,69218,0.48
Memphis Tigers,58325,0.39
East Carolina Pirates,50000,0.73
UAB Blazers,47100,0.41
Rice Owls,47000,0.39
Navy Midshipmen,34000,1.00
North Texas Mean Green,30850,0.75
UTSA Roadrunners,35000,0.32
Tulane Green Wave,30000,0.80
Tulsa Golden Hurricane,30000,0.68
Charlotte 49ers,15314,0.92
UTEP Miners,45971,0.42
Middle Tennessee State Blue Raiders,30788,0.42
New Mexico State Aggies,28853,0.47
Louisiana Tech Bulldogs,28562,0.57
Liberty Flames,25000,0.81
Western Kentucky Hilltoppers,22113,0.63
Delaware Blue Hens,22000,N/A
Kennesaw State Owls,10200,0.88
Eastern Michigan Eagles,30200,0.51
Western Michigan Broncos,30200,0.64
Buffalo Bulls,29013,0.59
Akron Zips,27881,0.21
Toledo Rockets,26038,0.83
Miami (OH) Redhawks,24286,0.50
Bowling Green State Falcons,24000,0.56
Northern Illinois Huskies,23595,0.52
Ball State Cardinals,22500,0.44
Kent State Golden Flashes,22000,0.34
Central Michigan Chippewas,30255,0.59
Ohio Bobcats,24000,0.73
Fresno State Bulldogs,40727,0.99
New Mexico Lobos,39224,0.41
Colorado State Rams,36500,0.80
Boise State Broncos,36363,1.00
San Jose State Spartans,30456,0.88
Nevada Wolfpack,30000,0.65
Wyoming Cowboys,29181,0.75
Utah State Aggies,25513,0.67
Marshall Thundering Herd,38016,0.61
Southern Miss Golden Eagles,37000,0.62
Troy Trojans,30470,0.78
Arkansas State Red Wolves,30382,0.58
Appalachian State Mountaineers,30000,1.00
Texas State Bobcats,30000,0.79
ULM Warhawks,27617,0.52
Georgia State Panthers,24333,0.58
Old Dominion Monarchs,21944,0.92
Coastal Carolina Chanticleers,20000,0.93
James Madison Dukes,24877,1.00